glass_type,recommended_climate,u_value,shgc,vlt,acoustic_rw,thickness_mm,fire_rating,durability_years,cost_per_sqm,maintenance_freq_per_year,solar_control_coating,impact_resistance,environmental_suitability
DGU Low-E,dry,1.2,0.26,62.7,30,20,A1,16,341,3,Yes,Low,Medium
Clear Float Glass,dry,3.07,0.47,68.7,33,8,A1,20,100,1,Yes,Low,Medium
Triple Glazed Low-E,hot,1.13,0.34,64.2,31,40,A1,33,210,1,Yes,Low,High
Triple Glazed Low-E,dry,1.51,0.33,64.1,26,32,C,33,308,3,Yes,Low,Medium
Solar Control Glass,cold,2.97,0.67,76.2,28,8,B,27,106,1,No,Low,Medium
Acoustic Laminated,cold,2.57,0.52,66.4,35,12,C,34,220,3,Yes,High,Medium
IGU Low-E,hot,1.09,0.23,52.8,29,22,A2,26,279,1,Yes,Low,High
Spectrally Selective Glass,moderate,4.55,0.67,60.2,32,8,B,34,116,3,Yes,Low,Medium
Solar Control Glass,hot,3.78,0.55,66.7,35,10,A1,19,150,2,No,Low,High
IGU Low-E,hot,1.1,0.25,68.3,29,22,A2,25,219,1,Yes,Low,High
Acoustic Laminated,cold,1.99,0.43,74.1,35,14,A1,35,242,2,No,High,Medium
Heat Strengthened Glass,cold,3.41,0.69,88.9,27,6,B,20,80,3,No,Medium,Medium
Clear Float Glass,dry,3.13,0.57,69.0,26,8,A1,19,134,3,Yes,Low,Medium
DGU Low-E,cold,1.23,0.21,58.3,27,22,A1,24,260,2,Yes,Low,Medium
Spectrally Selective Glass,hot,3.76,0.46,68.4,35,8,A1,26,106,3,Yes,Low,High
Spectrally Selective Glass,coastal,4.77,0.51,64.3,28,10,A2,20,175,2,Yes,Low,High
DGU Low-E,moderate,1.39,0.35,47.3,31,24,A2,23,350,1,Yes,Low,Medium
Frosted Glass,hot,4.18,0.64,67.1,28,8,A2,29,84,2,No,Low,High
Tempered Low-E,moderate,1.58,0.26,59.0,35,6,A2,27,156,2,Yes,Medium,Medium
Tempered Low-E,hot,1.51,0.28,42.7,35,8,C,32,239,2,Yes,Medium,High
DGU Low-E,hot,1.67,0.25,45.6,34,24,B,16,195,1,Yes,Low,High
Triple Glazed Low-E,coastal,1.03,0.29,60.3,30,36,C,34,336,3,Yes,Low,High
IGU Low-E,coastal,1.01,0.28,46.8,25,22,C,15,215,3,Yes,Low,High
Spectrally Selective Glass,dry,4.11,0.49,80.7,30,10,C,17,172,3,Yes,Low,Medium
Spectrally Selective Glass,cold,3.47,0.68,64.1,29,10,B,28,120,2,Yes,Low,Medium
Tinted Glass,cold,3.28,0.37,33.5,28,8,C,27,116,3,No,Low,Medium
Laminated Clear,moderate,2.65,0.36,73.2,41,14,A1,24,252,2,No,High,Medium
Laminated Low-E,coastal,1.65,0.28,55.9,45,14,B,29,305,2,Yes,High,High
Clear Float Glass,moderate,3.1,0.47,86.9,35,8,A1,24,140,3,Yes,Low,Medium
Acoustic Laminated,dry,2.68,0.46,66.8,45,12,B,22,191,1,Yes,High,Medium
DGU Clear,hot,1.08,0.4,61.9,34,20,A1,29,262,2,No,Low,High
Spectrally Selective Glass,dry,4.72,0.64,79.3,32,6,C,22,171,1,No,Low,Medium
Acoustic Laminated,hot,1.7,0.34,78.0,38,10,A2,31,279,2,No,High,High
DGU Low-E,dry,1.49,0.2,43.0,32,22,A2,29,181,3,Yes,Low,Medium
Solar Control Glass,dry,4.16,0.45,64.8,34,10,C,32,120,2,No,Low,Medium
Spectrally Selective Glass,moderate,3.87,0.62,79.6,29,10,A2,35,140,2,No,Low,Medium
Frosted Glass,dry,3.06,0.63,67.1,29,8,C,17,160,3,Yes,Low,Medium
Tempered Low-E,moderate,1.26,0.31,59.5,30,8,A1,19,235,1,Yes,Medium,Medium
Laminated Low-E,coastal,1.68,0.3,57.0,38,14,A1,28,189,2,Yes,High,High
Reflective Glass,dry,3.14,0.22,14.0,25,6,A2,28,226,2,Yes,Low,Medium
Spectrally Selective Glass,dry,3.11,0.69,71.8,32,10,A1,26,82,2,No,Low,Medium
Frosted Glass,coastal,4.73,0.61,83.8,32,8,A2,23,148,2,Yes,Low,High
Clear Float Glass,hot,3.76,0.59,74.8,27,6,C,19,123,3,No,Low,High
Solar Control Glass,hot,2.99,0.63,68.4,26,8,C,19,155,2,Yes,Low,High
DGU Clear,hot,0.82,0.38,40.3,28,24,C,25,297,2,No,Low,High
Frosted Glass,coastal,4.85,0.69,87.4,29,8,A1,30,176,1,No,Low,High
Laminated Clear,dry,2.04,0.3,78.6,45,10,A1,35,224,1,Yes,High,Medium
Frosted Glass,hot,3.57,0.69,88.9,34,6,A2,22,105,1,Yes,Low,High
Clear Float Glass,hot,4.63,0.52,71.6,29,8,B,20,107,3,No,Low,High
Triple Glazed Low-E,hot,1.68,0.25,45.1,26,32,A1,24,229,3,Yes,Low,High
Acoustic Laminated,coastal,2.27,0.53,73.9,36,12,A2,18,300,3,Yes,High,High
Frosted Glass,cold,3.93,0.47,78.5,30,6,C,26,152,1,Yes,Low,Medium
Solar Control Glass,cold,4.98,0.49,75.5,26,6,C,26,133,3,No,Low,Medium
Spectrally Selective Glass,coastal,4.69,0.64,80.9,27,10,B,34,99,3,No,Low,High
Frosted Glass,coastal,4.26,0.54,68.8,30,8,A2,17,135,2,No,Low,High
Spectrally Selective Glass,coastal,4.52,0.65,86.0,34,6,C,25,176,1,No,Low,High
Clear Float Glass,cold,4.78,0.58,75.0,30,5,B,25,142,2,Yes,Low,Medium
Spectrally Selective Glass,dry,4.5,0.61,81.1,33,10,A2,17,115,1,Yes,Low,Medium
Laminated Clear,coastal,2.55,0.52,66.8,42,12,C,29,251,1,Yes,High,High
IGU Low-E,cold,1.3,0.21,57.3,28,22,B,33,253,2,Yes,Low,Medium
Clear Float Glass,dry,2.59,0.57,76.3,33,8,B,26,124,3,No,Low,Medium
Clear Float Glass,cold,3.22,0.6,60.9,26,6,A2,25,112,1,Yes,Low,Medium
Laminated Clear,dry,1.64,0.51,67.2,38,14,C,23,203,3,Yes,High,Medium
Triple Glazed Low-E,dry,1.1,0.28,63.1,26,40,A2,24,222,1,Yes,Low,Medium
Reflective Glass,moderate,3.32,0.25,11.3,33,6,A2,23,123,1,Yes,Low,Medium
DGU Low-E,dry,1.04,0.28,56.2,27,24,C,18,328,1,Yes,Low,Medium
Triple Glazed Low-E,cold,1.51,0.31,69.3,32,36,B,20,272,1,Yes,Low,Medium
Tempered Low-E,coastal,1.41,0.25,63.9,31,6,C,17,166,3,Yes,Medium,High
Acoustic Laminated,hot,1.92,0.41,61.6,36,10,A2,18,199,3,No,High,High
Frosted Glass,coastal,2.56,0.69,85.1,32,6,C,24,179,3,No,Low,High
Tinted Glass,cold,3.77,0.43,18.5,25,8,A1,21,179,3,No,Low,Medium
Laminated Low-E,cold,1.13,0.24,56.5,37,14,A2,20,170,3,Yes,High,Medium
IGU Low-E,moderate,1.57,0.3,48.4,32,20,C,24,254,1,Yes,Low,Medium
Laminated Low-E,cold,1.76,0.31,56.6,42,14,A1,22,222,2,Yes,High,Medium
Frosted Glass,dry,4.03,0.55,67.4,33,6,A2,35,134,1,Yes,Low,Medium
Spectrally Selective Glass,cold,3.39,0.64,60.4,27,6,B,34,89,3,Yes,Low,Medium
Heat Strengthened Glass,dry,2.79,0.46,61.2,32,8,B,27,136,2,Yes,Medium,Medium
Solar Control Glass,dry,4.64,0.63,74.2,34,8,A1,28,136,3,Yes,Low,Medium
Reflective Glass,dry,3.15,0.24,17.1,26,6,A2,33,126,3,Yes,Low,Medium
DGU Low-E,cold,1.14,0.27,52.0,27,20,C,31,345,3,Yes,Low,Medium
Clear Float Glass,cold,4.04,0.61,61.4,35,5,C,17,154,2,No,Low,Medium
Reflective Glass,coastal,3.56,0.26,17.5,35,6,A1,20,202,2,Yes,Low,High
Tinted Glass,coastal,4.0,0.48,18.3,31,6,A1,29,184,1,No,Low,High
Reflective Glass,cold,3.11,0.26,10.4,31,6,A1,32,149,2,Yes,Low,Medium
Tinted Glass,hot,3.62,0.54,26.5,30,5,C,35,166,2,No,Low,High
Frosted Glass,hot,3.47,0.61,73.7,29,6,C,30,114,1,Yes,Low,High
DGU Low-E,dry,1.44,0.34,51.6,27,22,B,32,331,1,Yes,Low,Medium
Solar Control Glass,coastal,4.9,0.68,65.9,32,6,A1,35,108,1,Yes,Low,High
Clear Float Glass,cold,2.67,0.48,60.5,31,8,C,30,170,1,No,Low,Medium
Clear Float Glass,dry,2.74,0.62,62.1,34,5,A2,17,129,2,Yes,Low,Medium
Frosted Glass,coastal,3.3,0.66,60.7,25,8,B,24,180,3,No,Low,High
Triple Glazed Low-E,coastal,1.65,0.24,43.5,33,32,C,26,264,2,Yes,Low,High
Solar Control Glass,dry,4.24,0.61,86.3,28,8,A2,33,138,2,No,Low,Medium
Laminated Low-E,coastal,1.59,0.32,48.5,42,10,C,27,231,3,Yes,High,High
Frosted Glass,moderate,2.94,0.64,84.2,33,8,B,18,84,2,Yes,Low,Medium
IGU Low-E,dry,1.79,0.26,51.2,27,26,C,35,153,1,Yes,Low,Medium
IGU Low-E,coastal,1.62,0.25,67.9,34,24,C,35,236,1,Yes,Low,High
Heat Strengthened Glass,cold,4.65,0.56,82.5,30,10,C,32,148,1,No,Medium,Medium
Triple Glazed Low-E,hot,1.6,0.22,67.1,35,32,B,22,311,3,Yes,Low,High
IGU Low-E,coastal,1.4,0.32,49.6,35,20,A1,29,344,1,Yes,Low,High
Laminated Clear,cold,2.67,0.4,60.2,35,10,B,26,185,2,No,High,Medium
Tinted Glass,moderate,4.07,0.37,21.4,31,5,A2,20,167,1,No,Low,Medium
IGU Low-E,dry,1.76,0.34,57.2,35,26,A2,30,308,3,Yes,Low,Medium
DGU Clear,moderate,1.31,0.34,43.8,32,26,B,15,363,2,No,Low,Medium
Spectrally Selective Glass,cold,3.32,0.62,82.6,26,10,C,26,149,3,Yes,Low,Medium
Tempered Low-E,coastal,1.63,0.32,42.7,32,10,B,21,214,2,Yes,Medium,High
Heat Strengthened Glass,coastal,3.74,0.46,76.5,34,6,B,33,110,2,No,Medium,High
Laminated Clear,cold,2.13,0.52,67.0,39,10,A1,33,286,3,No,High,Medium
Frosted Glass,hot,2.79,0.49,82.8,34,8,B,22,116,3,Yes,Low,High
Laminated Low-E,dry,1.49,0.22,42.5,45,12,A2,35,323,1,Yes,High,Medium
Spectrally Selective Glass,hot,4.25,0.47,84.7,25,8,B,19,180,1,No,Low,High
Spectrally Selective Glass,cold,4.27,0.47,62.5,27,8,A2,19,175,3,No,Low,Medium
Spectrally Selective Glass,cold,4.97,0.54,71.1,27,10,B,30,144,2,No,Low,Medium
Laminated Clear,cold,2.58,0.54,79.7,37,10,A2,27,239,3,Yes,High,Medium
Reflective Glass,hot,4.13,0.23,11.3,29,6,A1,29,123,2,Yes,Low,High
Acoustic Laminated,cold,2.53,0.44,68.5,36,14,A2,30,228,1,No,High,Medium
Triple Glazed Low-E,dry,1.73,0.22,54.8,28,36,A1,35,306,2,Yes,Low,Medium
Spectrally Selective Glass,cold,2.53,0.57,61.7,27,10,A1,16,132,2,Yes,Low,Medium
Clear Float Glass,hot,2.8,0.48,79.5,31,5,C,26,110,3,Yes,Low,High
Laminated Clear,dry,2.5,0.45,79.2,41,12,A1,30,255,3,Yes,High,Medium
Tinted Glass,cold,3.32,0.41,32.4,30,5,A2,29,188,2,No,Low,Medium
Laminated Low-E,cold,1.18,0.34,40.4,40,10,B,16,325,2,Yes,High,Medium
Tempered Low-E,moderate,1.78,0.21,66.7,26,6,A2,35,266,3,Yes,Medium,Medium
Triple Glazed Low-E,hot,1.42,0.35,42.2,28,32,A2,33,235,1,Yes,Low,High
IGU Low-E,dry,1.44,0.35,55.7,28,22,A2,25,300,1,Yes,Low,Medium
Frosted Glass,dry,4.07,0.62,73.6,27,6,B,20,115,1,Yes,Low,Medium
Acoustic Laminated,hot,2.35,0.45,78.0,38,10,B,15,181,1,No,High,High
Tempered Low-E,hot,1.04,0.24,68.5,31,6,A1,17,339,2,Yes,Medium,High
Clear Float Glass,cold,4.73,0.56,78.6,32,8,A2,34,155,1,Yes,Low,Medium
Laminated Clear,dry,1.93,0.35,69.3,35,12,C,27,238,2,Yes,High,Medium
Acoustic Laminated,hot,2.02,0.45,61.6,36,12,A1,25,271,3,No,High,High
DGU Clear,hot,1.58,0.45,55.9,31,22,B,29,270,3,No,Low,High
Triple Glazed Low-E,coastal,1.43,0.25,64.4,26,32,A2,28,329,2,Yes,Low,High
Spectrally Selective Glass,moderate,4.21,0.49,87.3,31,8,C,18,123,2,No,Low,Medium
Tinted Glass,cold,3.95,0.54,29.5,30,8,A2,30,132,1,No,Low,Medium
IGU Low-E,hot,1.49,0.26,68.0,26,20,B,19,260,3,Yes,Low,High
DGU Low-E,dry,1.69,0.21,40.8,26,24,C,26,321,3,Yes,Low,Medium
Frosted Glass,coastal,3.44,0.65,89.6,30,6,A1,33,116,3,No,Low,High
Laminated Low-E,moderate,1.12,0.29,51.4,38,14,A1,26,273,3,Yes,High,Medium
Reflective Glass,hot,4.45,0.28,22.6,31,6,A1,34,177,3,Yes,Low,High
Heat Strengthened Glass,cold,3.67,0.55,68.2,29,6,B,26,103,1,No,Medium,Medium
DGU Clear,moderate,0.85,0.42,59.4,35,26,A1,17,217,3,Yes,Low,Medium
Solar Control Glass,moderate,5.0,0.7,76.7,30,8,A2,26,133,2,No,Low,Medium
Laminated Clear,cold,2.52,0.54,77.0,35,14,A2,20,256,3,Yes,High,Medium
DGU Low-E,hot,1.2,0.27,43.9,35,24,C,30,263,3,Yes,Low,High
Clear Float Glass,coastal,4.89,0.6,66.9,30,6,C,18,107,2,Yes,Low,High
Acoustic Laminated,dry,2.41,0.45,67.2,35,12,A2,27,247,3,No,High,Medium
DGU Low-E,hot,1.09,0.3,55.6,28,22,A2,23,227,2,Yes,Low,High
Reflective Glass,hot,4.16,0.24,22.8,31,5,A2,19,247,2,Yes,Low,High
Solar Control Glass,moderate,3.88,0.59,86.3,26,10,C,16,151,2,No,Low,Medium
DGU Low-E,coastal,1.32,0.22,40.9,34,20,C,33,230,2,Yes,Low,High
Laminated Clear,coastal,2.51,0.46,74.1,35,12,B,20,194,3,No,High,High
Clear Float Glass,cold,3.03,0.48,60.4,28,5,C,33,135,2,Yes,Low,Medium
Solar Control Glass,hot,3.38,0.6,71.8,28,8,B,20,119,1,No,Low,High
Solar Control Glass,hot,3.59,0.68,70.4,30,10,B,35,145,1,Yes,Low,High
Laminated Low-E,hot,1.41,0.32,51.9,38,10,A2,34,215,1,Yes,High,High
Frosted Glass,hot,4.06,0.67,88.5,32,6,C,33,178,3,No,Low,High
Acoustic Laminated,dry,1.78,0.53,69.8,37,12,C,17,290,2,No,High,Medium
Clear Float Glass,cold,3.15,0.56,89.4,30,6,A1,24,155,2,Yes,Low,Medium
Clear Float Glass,hot,3.73,0.53,79.0,26,5,A1,34,127,3,No,Low,High
Solar Control Glass,coastal,3.1,0.47,63.9,32,8,A2,25,154,3,Yes,Low,High
Clear Float Glass,dry,2.82,0.49,64.2,26,5,B,17,87,3,No,Low,Medium
Acoustic Laminated,moderate,2.37,0.35,66.9,42,10,A2,26,211,2,No,High,Medium
Spectrally Selective Glass,cold,4.74,0.57,80.0,35,8,A1,35,132,3,No,Low,Medium
Reflective Glass,hot,3.26,0.2,10.6,33,6,C,24,144,2,Yes,Low,High
Laminated Clear,dry,1.8,0.37,63.5,44,10,A2,26,222,2,Yes,High,Medium
Acoustic Laminated,coastal,1.71,0.33,69.2,39,10,C,35,256,2,Yes,High,High
Heat Strengthened Glass,moderate,3.02,0.54,75.1,35,10,C,31,169,2,Yes,Medium,Medium
DGU Low-E,cold,1.55,0.21,64.0,28,24,B,30,196,1,Yes,Low,Medium
Laminated Low-E,moderate,1.5,0.21,66.2,39,10,A1,31,169,3,Yes,High,Medium
Heat Strengthened Glass,dry,4.8,0.47,68.3,34,6,A2,34,164,2,No,Medium,Medium
DGU Clear,moderate,1.44,0.4,40.5,32,22,A1,28,377,2,Yes,Low,Medium
Acoustic Laminated,moderate,1.85,0.39,69.7,42,12,A2,32,258,1,No,High,Medium
Tempered Low-E,coastal,1.49,0.26,53.9,35,6,C,29,244,2,Yes,Medium,High
Frosted Glass,coastal,4.37,0.46,67.6,34,8,A2,23,100,1,Yes,Low,High
Acoustic Laminated,coastal,2.46,0.52,70.2,43,12,A1,24,250,1,Yes,High,High
Frosted Glass,moderate,3.83,0.48,73.4,31,8,A1,22,137,2,Yes,Low,Medium
Spectrally Selective Glass,cold,3.83,0.51,68.1,31,6,B,22,133,2,Yes,Low,Medium
IGU Low-E,cold,1.3,0.2,49.7,30,22,A1,35,157,2,Yes,Low,Medium
Frosted Glass,moderate,3.03,0.53,63.6,32,6,A2,30,84,2,No,Low,Medium
Triple Glazed Low-E,hot,1.71,0.29,60.4,29,32,A2,19,154,3,Yes,Low,High
Laminated Clear,dry,2.55,0.42,61.7,39,14,A2,24,234,1,Yes,High,Medium
DGU Low-E,moderate,1.43,0.29,62.4,34,26,C,17,313,1,Yes,Low,Medium
Heat Strengthened Glass,coastal,3.58,0.48,68.5,35,10,A2,19,148,2,Yes,Medium,High
Tinted Glass,hot,3.31,0.48,26.4,28,8,C,20,145,3,No,Low,High
Acoustic Laminated,hot,2.03,0.55,72.1,43,14,A1,27,226,2,Yes,High,High
DGU Low-E,coastal,1.19,0.22,44.6,25,24,B,17,214,2,Yes,Low,High
Laminated Low-E,hot,1.2,0.22,45.6,40,14,A2,16,338,2,Yes,High,High
Solar Control Glass,cold,3.21,0.49,86.9,32,10,A2,19,102,1,No,Low,Medium
Laminated Clear,coastal,1.7,0.43,68.2,35,10,A2,16,217,2,Yes,High,High
Spectrally Selective Glass,cold,4.96,0.48,71.9,29,10,A1,35,130,1,No,Low,Medium
Tempered Low-E,cold,1.78,0.33,64.5,30,6,B,18,317,2,Yes,Medium,Medium
Tinted Glass,coastal,3.16,0.38,28.4,31,8,B,20,156,2,No,Low,High
Laminated Clear,coastal,2.72,0.44,71.4,36,12,C,17,298,2,No,High,High
Triple Glazed Low-E,moderate,1.22,0.32,45.6,30,40,A1,17,225,2,Yes,Low,Medium
Acoustic Laminated,cold,1.99,0.41,70.2,37,12,C,26,237,2,No,High,Medium
DGU Low-E,cold,1.19,0.22,58.3,35,26,A1,17,220,3,Yes,Low,Medium
Acoustic Laminated,coastal,1.95,0.45,63.1,35,12,A2,34,245,3,Yes,High,High
Frosted Glass,coastal,3.7,0.58,61.6,28,6,B,26,96,2,Yes,Low,High
Triple Glazed Low-E,hot,1.27,0.22,41.9,35,40,C,26,189,2,Yes,Low,High
Clear Float Glass,hot,4.97,0.53,84.3,31,8,B,35,97,2,No,Low,High
Laminated Low-E,hot,1.2,0.3,62.8,37,10,C,31,338,2,Yes,High,High
Spectrally Selective Glass,dry,3.99,0.57,72.4,32,6,A2,34,113,2,No,Low,Medium
Laminated Clear,coastal,2.02,0.53,76.6,36,10,C,20,195,3,Yes,High,High
Clear Float Glass,hot,4.91,0.48,81.9,26,8,B,24,120,1,No,Low,High
Laminated Clear,moderate,2.73,0.35,61.3,36,12,A2,19,245,1,Yes,High,Medium
Frosted Glass,coastal,4.35,0.59,85.3,32,6,A2,34,126,1,No,Low,High
IGU Low-E,cold,1.11,0.32,46.0,32,26,C,28,333,3,Yes,Low,Medium
IGU Low-E,moderate,1.13,0.22,64.4,26,24,C,29,314,3,Yes,Low,Medium
Solar Control Glass,cold,4.16,0.58,70.8,27,6,C,31,179,1,Yes,Low,Medium
Heat Strengthened Glass,hot,4.69,0.55,84.5,27,10,A2,25,99,3,No,Medium,High
Laminated Low-E,cold,1.35,0.26,53.9,36,14,B,21,222,3,Yes,High,Medium
Solar Control Glass,cold,3.25,0.64,75.1,34,6,A1,31,160,3,No,Low,Medium
DGU Clear,dry,0.99,0.43,46.5,34,22,A1,15,243,1,No,Low,Medium
DGU Low-E,dry,1.43,0.34,58.7,28,24,C,34,316,3,Yes,Low,Medium
DGU Low-E,coastal,1.09,0.34,58.8,29,24,C,22,314,3,Yes,Low,High
Tinted Glass,cold,3.27,0.38,30.9,25,6,A2,29,109,2,No,Low,Medium
Clear Float Glass,coastal,4.05,0.58,86.8,30,5,B,26,123,2,Yes,Low,High
DGU Clear,cold,1.43,0.28,44.4,32,20,A1,23,281,2,Yes,Low,Medium
Laminated Low-E,moderate,1.2,0.31,41.0,39,10,C,34,162,2,Yes,High,Medium
Laminated Low-E,moderate,1.46,0.31,66.3,40,12,A2,20,297,2,Yes,High,Medium
Solar Control Glass,coastal,3.36,0.66,63.3,25,8,A1,27,119,3,No,Low,High
Clear Float Glass,moderate,4.62,0.48,71.9,25,5,A1,24,154,2,No,Low,Medium
Triple Glazed Low-E,coastal,1.64,0.22,46.9,25,36,A1,28,287,1,Yes,Low,High
Spectrally Selective Glass,cold,4.31,0.63,79.2,30,10,A1,27,126,1,No,Low,Medium
Triple Glazed Low-E,dry,1.56,0.28,47.6,33,32,B,17,242,2,Yes,Low,Medium
Solar Control Glass,coastal,3.36,0.5,87.3,27,10,A1,27,115,2,Yes,Low,High
Frosted Glass,cold,3.96,0.55,73.9,28,8,C,31,176,1,Yes,Low,Medium
DGU Low-E,hot,1.76,0.22,57.6,30,22,C,31,332,2,Yes,Low,High
DGU Clear,dry,1.2,0.37,35.5,27,22,C,34,283,3,No,Low,Medium
Heat Strengthened Glass,cold,4.68,0.68,77.0,34,10,B,30,123,1,No,Medium,Medium
Reflective Glass,cold,4.04,0.29,20.6,31,8,B,35,148,1,Yes,Low,Medium
Triple Glazed Low-E,coastal,1.12,0.29,58.2,34,36,A2,16,317,3,Yes,Low,High
Clear Float Glass,moderate,3.56,0.63,88.0,27,8,A2,16,160,3,No,Low,Medium
Laminated Clear,hot,2.71,0.41,62.3,40,10,C,19,182,2,No,High,High
Laminated Clear,moderate,2.78,0.51,62.5,35,12,A2,31,244,1,No,High,Medium
Solar Control Glass,cold,4.8,0.67,75.6,30,10,A2,29,141,3,No,Low,Medium
Reflective Glass,dry,3.89,0.23,10.8,34,6,C,21,187,1,Yes,Low,Medium
Tempered Low-E,dry,1.27,0.32,40.1,29,8,B,21,207,3,Yes,Medium,Medium
Laminated Clear,coastal,2.0,0.4,70.7,43,12,B,24,241,1,No,High,High
Triple Glazed Low-E,dry,1.74,0.25,50.4,30,36,A2,24,251,1,Yes,Low,Medium
Tempered Low-E,hot,1.59,0.27,46.7,35,8,B,30,263,1,Yes,Medium,High
Laminated Low-E,dry,1.36,0.22,45.3,39,12,A2,18,293,3,Yes,High,Medium
Laminated Clear,dry,2.2,0.4,78.3,45,10,A2,35,211,1,Yes,High,Medium
DGU Low-E,hot,1.29,0.29,59.0,32,26,A1,19,234,1,Yes,Low,High
Solar Control Glass,moderate,2.53,0.62,65.3,32,8,A2,24,163,2,No,Low,Medium
Tempered Low-E,hot,1.77,0.22,52.4,34,6,A2,32,316,3,Yes,Medium,High
Laminated Clear,hot,1.7,0.55,70.0,35,10,C,30,233,1,Yes,High,High
Spectrally Selective Glass,cold,3.99,0.47,82.5,34,6,A1,25,81,2,No,Low,Medium
Clear Float Glass,dry,3.02,0.67,66.2,33,8,C,23,143,1,Yes,Low,Medium
Frosted Glass,hot,2.98,0.46,74.2,35,8,B,20,100,1,No,Low,High
Laminated Clear,cold,2.28,0.32,75.5,37,12,C,28,252,3,Yes,High,Medium
Reflective Glass,hot,3.68,0.24,16.6,27,6,A2,30,144,2,Yes,Low,High
Spectrally Selective Glass,moderate,3.5,0.59,64.7,28,6,C,23,113,2,No,Low,Medium
Tempered Low-E,dry,1.15,0.33,68.4,25,10,B,35,296,2,Yes,Medium,Medium
Laminated Clear,moderate,2.05,0.37,72.9,42,10,B,20,265,2,Yes,High,Medium
Acoustic Laminated,dry,2.09,0.31,63.1,36,14,B,26,278,3,No,High,Medium
Laminated Low-E,moderate,1.57,0.3,40.8,37,10,C,34,272,2,Yes,High,Medium
Tinted Glass,dry,3.11,0.4,28.4,33,6,A2,22,196,3,No,Low,Medium
Frosted Glass,dry,2.55,0.48,84.0,33,6,B,17,147,3,No,Low,Medium
IGU Low-E,hot,1.14,0.3,47.1,33,22,A2,20,296,2,Yes,Low,High
Heat Strengthened Glass,dry,2.75,0.51,81.7,34,8,C,17,94,3,Yes,Medium,Medium
Clear Float Glass,hot,4.64,0.66,71.9,32,6,A1,32,96,2,No,Low,High
