location,building_type,floor_count,orientation,facade_area_sqm,budget_level,max_cost_per_sqm,required_u_value,required_shgc,required_vlt,acoustic_requirement,fire_rating_requirement,aesthetic_preference,thermal_insulation_required,wind_load_level,climate_zone,avg_temp_c,avg_humidity_pct,avg_rainfall_mm,solar_exposure,material_id,material_type,material_subtype,cost_per_sqm,installation_cost_per_sqm,material_u_value,material_shgc,material_vlt_percent,fire_rating,durability_years,maintenance_freq_per_year,acoustic_rating_rw,water_absorption_pct,material_density_kgm3,recommended_climates,surface_reflectivity_pct,material_lifespan_years,total_material_cost,total_installation_cost,total_cost_estimate,thermal_gap_u_value,thermal_gap_shgc,budget_fit_flag,aesthetic_match_flag,fire_safety_match_flag,climate_match_flag,suitability_score
Kochi,Hospital,9,east,1300,high,260,1.3,0.28,38,yes,A1,glass,required,high,coastal,29,82,3200,high,M11,glass,reflective,164,42,0.9,0.28,32,A2,24,1.5,37,0.1,2500,coastal,45,28,213200,54600,267800,0.4,0,1,1,0,1,75
Lucknow,Industrial,3,west,400,low,55,2.4,0.52,62,no,C,terracotta,not required,low,moderate,27,62,1000,medium,M12,terracotta,gfrc,101,29,2.7,0,0,A1,32,1.2,26,2.5,2000,moderate,18,38,40400,11600,52000,0.3,0.52,0,0,0,1,39
Bhopal,Commercial,14,south,1400,medium,130,1.9,0.42,52,yes,A2,metal,required,avg,hot,26,68,1100,medium,M13,metal,louvers,125,27,3.2,0,0,A2,26,2.5,31,0.6,2800,"hot,moderate",32,30,175000,37800,212800,1.3,0.42,1,0,1,1,67
Indore,Residential,11,north,850,low,75,2.6,0.58,68,no,B,composite,required,low,moderate,25,59,950,low,M14,composite,acp,33,20,2.1,0,0,B,16,1,33,1.9,1600,moderate,25,18,28050,17000,45050,0.5,0.58,1,0,1,1,76
Vizag,Hospital,16,east,1700,high,240,1.2,0.22,32,yes,A1,glass,not required,high,coastal,28,78,2500,high,M15,glass,dg,99,48,0.8,0.22,36,A1,27,1,39,0.05,2300,"coastal,hot",38,34,168300,81600,249900,0.4,0,1,1,1,1,95
Surat,Industrial,2,west,350,medium,110,2.2,0.46,54,no,C,stone,required,avg,hot,30,72,1300,high,M16,stone,marble,81,35,1.7,0,0,C,38,0.6,24,0.4,2700,hot,20,52,28350,12250,40600,0.5,0.46,1,1,1,1,87
Nagpur,Commercial,13,south,950,high,180,1.8,0.38,46,yes,A2,glass,required,high,hot,29,66,1200,medium,M17,glass,low-e,106,41,1.3,0.38,48,A2,23,1.2,34,0.4,2450,hot,22,31,100700,38950,139650,0.5,0,1,1,1,1,93
Patna,Residential,10,north,750,low,65,2.8,0.6,70,no,B,metal,not required,low,moderate,27,70,1400,low,M18,metal,stainless,80,18,2.9,0,0,C,50,0.3,30,0.2,8000,"moderate,cold",50,60,60000,13500,73500,0.1,0.6,0,1,0,1,51
Trivandrum,Hospital,8,east,1000,medium,160,1.5,0.3,42,yes,A1,composite,required,high,coastal,28,84,2800,high,M19,composite,hpl,47,33,2,0,0,B,20,1.6,35,2.2,1500,coastal,26,24,47000,33000,80000,0.5,0.3,1,0,0,1,59
Raipur,Industrial,6,west,550,low,85,2.5,0.55,64,no,C,terracotta,required,avg,hot,31,67,1500,medium,M20,terracotta,panel,134,31,2.6,0,0,A1,34,1,28,3.5,2100,hot,14,42,73700,17050,90750,0.1,0.55,0,1,0,1,51
Agra,Commercial,17,south,1800,high,210,1.6,0.35,49,yes,A2,glass,not required,high,hot,27,52,650,high,M21,glass,igu,172,46,1.15,0.35,51,A2,26,0.9,36,0.25,2550,"hot,moderate",24,33,309600,82800,392400,0.45,0,1,1,1,1,94
Varanasi,Residential,5,north,650,medium,95,2.3,0.5,59,no,B,stone,required,low,moderate,26,71,1050,medium,M22,stone,limestone,63,28,2.15,0,0,B,42,0.5,26,2.8,2300,moderate,16,48,40950,18200,59150,0.15,0.5,1,1,1,1,91
Mangalore,Hospital,11,east,1200,high,230,1.4,0.26,37,yes,A1,metal,required,high,coastal,29,81,3400,high,M23,metal,acp,37,36,3,0,0,C,22,2,33,0.7,2900,coastal,36,26,44400,43200,87600,1.6,0.26,1,0,0,1,47
Jodhpur,Industrial,4,west,450,low,50,2.7,0.62,72,no,C,composite,not required,avg,hot,32,48,300,high,M24,composite,gfrc,115,15,2.4,0,0,C,28,0.7,32,1.6,1700,hot,30,20,51750,6750,58500,0.3,0.62,0,0,1,1,58
Amritsar,Commercial,19,south,1900,medium,170,1.7,0.4,47,yes,A2,louvers,required,high,cold,24,60,700,low,M25,louvers,aluminum,119,30,3.8,0,0,C,18,3,29,0.9,2750,"cold,moderate",42,28,226100,57000,283100,2.1,0.4,1,0,0,1,45
Kanpur,Commercial,16,south,1350,medium,140,1.9,0.42,50,yes,A2,glass,required,high,hot,27,65,950,medium,M26,glass,tinted,148,35,1.4,0.32,42,B,24,1,34,0.4,2400,hot,28,32,199800,47250,247050,0.5,0.1,0,1,0,1,52
Mysore,Residential,9,north,750,low,75,2.4,0.55,62,no,B,stone,required,avg,moderate,23,62,1100,medium,M27,stone,quartz,106,29,1.85,0,0,C,38,0.6,27,1.1,2550,"hot,coastal",18,48,79500,21750,101250,0.55,0.55,0,1,0,0,35
Guwahati,Hospital,12,east,1250,high,230,1.4,0.28,38,yes,A1,metal,required,high,hot,25,82,2000,high,M28,metal,zinc,95,26,2.9,0,0,A1,22,1.8,31,0.3,7100,moderate,38,35,118750,32500,151250,1.5,0.28,1,1,1,0,66
Coimbatore,Industrial,7,west,650,medium,115,2.1,0.48,55,no,C,composite,not required,avg,hot,28,68,1400,high,M29,composite,fiber,87,24,2.2,0,0,C,20,1.2,30,2.1,1650,moderate,22,25,56550,15600,72150,0.1,0.48,1,0,1,0,72
Madurai,Commercial,19,south,1850,high,210,1.6,0.35,48,yes,A2,louvers,required,high,hot,30,70,900,high,M25,louvers,aluminum,85,30,3.8,0,0,B,18,3,29,0.9,2750,"cold,moderate",42,28,157250,55500,212750,2.2,0.35,1,0,0,0,35
Salem,Residential,6,north,550,low,65,2.7,0.6,68,no,B,terracotta,required,low,hot,29,66,750,medium,M30,terracotta,cladding,70,32,2.75,0,0,B,36,0.9,26,3.2,1950,hot,15,44,38500,17600,56100,0.05,0.6,0,1,1,1,71
Tirupati,Hospital,14,east,1450,medium,155,1.5,0.3,42,yes,A1,glass,not required,high,hot,28,72,600,high,M1,glass,low-e,115,40,1.2,0.35,50,C,25,1,35,0.5,2500,"coastal,hot",25,30,166750,58000,224750,0.3,0.05,1,1,0,1,75
Vadodara,Industrial,5,west,450,low,70,2.3,0.52,58,no,C,metal,required,avg,hot,29,58,800,high,M3,metal,aluminum,104,35,3.5,0,0,C,20,2,32,0.8,2700,"hot,coastal",40,25,46800,15750,62550,1.2,0.52,0,1,1,1,57
Varanasi,Commercial,17,south,1650,high,240,1.7,0.4,45,yes,A2,composite,required,high,hot,27,69,1200,medium,M4,composite,acp,30,30,1.8,0,0,B,15,1.5,30,2,1800,moderate,30,20,49500,49500,99000,0.1,0.4,1,0,0,0,53
Rajkot,Industrial,3,west,350,medium,110,2.2,0.46,54,no,C,stone,required,avg,hot,31,55,650,high,M10,stone,sandstone,95,26,1.95,0,0,B,45,0.4,27,3,2200,"hot,cold",12,55,33250,9100,42350,0.25,0.46,1,1,0,1,71
Nashik,Commercial,11,south,1150,high,195,1.8,0.38,46,yes,A2,glass,required,high,moderate,26,64,850,medium,M17,glass,low-e,114,41,1.3,0.38,48,B,23,1.2,34,0.4,2450,hot,22,31,131100,47150,178250,0.5,0,1,1,0,0,63
Udaipur,Residential,13,north,825,medium,135,2.1,0.48,56,no,B,terracotta,not required,avg,hot,28,52,550,high,M12,terracotta,gfrc,117,29,2.7,0,0,A2,32,1.2,26,2.5,2000,moderate,18,38,96525,23925,120450,0.6,0.48,1,0,0,0,46
Shimla,Hospital,18,east,1625,high,255,1.2,0.22,34,yes,A1,metal,required,high,cold,18,70,1200,low,M18,metal,stainless,115,18,2.9,0,0,B,50,0.3,30,0.2,8000,"moderate,cold",50,60,186875,29250,216125,1.7,0.22,1,1,0,1,57
Belgaum,Industrial,8,west,725,low,85,2.5,0.55,62,no,C,composite,required,low,moderate,24,67,950,medium,M14,composite,acp,30,20,2.1,0,0,A1,16,1,33,1.9,1600,moderate,25,18,21750,14500,36250,0.4,0.55,1,0,0,1,57
Hubli,Commercial,22,south,2125,high,235,1.6,0.35,49,yes,A2,louvers,not required,high,hot,27,69,1100,high,M13,metal,louvers,63,27,3.2,0,0,B,26,2.5,31,0.6,2800,"hot,moderate",32,30,133875,57375,191250,1.6,0.35,1,1,0,1,55
Jalgaon,Residential,4,north,425,low,68,2.8,0.6,70,no,B,stone,required,avg,hot,29,61,700,medium,M16,stone,marble,89,35,1.7,0,0,C,38,0.6,24,0.4,2700,hot,20,52,37825,14875,52700,1.1,0.6,0,1,0,1,37
Akola,Hospital,15,east,1525,medium,165,1.4,0.28,39,yes,A1,glass,required,high,hot,28,73,800,high,M11,glass,reflective,143,42,0.9,0.28,32,A2,24,1.5,37,0.1,2500,coastal,45,28,218075,64050,282125,0.5,0,1,1,0,0,63
Latur,Industrial,6,west,575,medium,120,2.3,0.52,59,no,C,metal,not required,low,hot,30,59,650,high,M23,metal,acp,23,36,3,0,0,C,22,2,33,0.7,2900,coastal,36,26,13225,20700,33925,0.7,0.52,1,0,1,0,64
Nanded,Commercial,20,south,1975,high,220,1.7,0.4,47,yes,A2,composite,required,high,hot,28,66,950,medium,M19,composite,hpl,51,33,2,0,0,A2,20,1.6,35,2.2,1500,coastal,26,24,100725,65175,165900,0.3,0.4,1,0,1,0,71
Parbhani,Residential,7,north,625,low,72,2.6,0.58,66,no,B,terracotta,required,avg,moderate,25,68,1050,low,M20,terracotta,panel,114,31,2.6,0,0,A2,34,1,28,3.5,2100,hot,14,42,71250,19375,90625,0,0.58,0,1,0,0,42
Bid,Hospital,10,east,1125,medium,145,1.5,0.3,41,yes,A1,glass,not required,high,hot,29,71,750,high,M15,glass,dg,172,48,0.8,0.22,36,A2,27,1,39,0.05,2300,"coastal,hot",38,34,193500,54000,247500,0.7,0.08,0,1,0,1,50
Satara,Industrial,9,west,875,low,78,2.4,0.54,61,no,C,stone,required,low,moderate,23,70,1200,medium,M22,stone,limestone,93,28,2.15,0,0,A2,42,0.5,26,2.8,2300,moderate,16,48,81375,24500,105875,0.25,0.54,0,1,0,1,49
Sangli,Commercial,14,south,1425,high,205,1.9,0.42,51,yes,A2,metal,required,avg,hot,27,65,900,high,M8,metal,galvanized,55,22,2.5,0,0,C,30,0.8,29,1.5,7800,"moderate,hot",35,45,78375,31350,109725,0.6,0.42,1,1,0,1,66
Kolhapur,Residential,12,north,1025,medium,130,2,0.45,53,no,B,composite,not required,high,moderate,26,72,1100,medium,M24,composite,gfrc,183,15,2.4,0,0,A1,28,0.7,32,1.6,1700,hot,30,20,187575,15375,202950,0.4,0.45,0,0,0,0,29
Bhagalpur,Residential,7,east,845,low,120,2.1,0.5,57,no,B,stone,required,avg,hot,29,70,1050,medium,M31,stone,granite,136,29,1.9,0,0,B,30,1,28,1,2600,hot,18,45,114920,24505,139425,0.2,0.5,0,1,1,1,71
Gorakhpur,Commercial,12,south,1300,medium,150,1.6,0.39,48,yes,A2,glass,required,high,moderate,26,68,980,medium,M32,glass,low-e,163,42,1.2,0.36,50,C,27,1,34,0.4,2500,coastal,23,32,211900,54600,266500,0.4,0.03,0,1,0,0,44
Meerut,Hospital,9,north,900,high,210,1.3,0.3,41,yes,A1,metal,required,high,hot,30,72,1200,high,M33,metal,aluminum,65,30,3.3,0,0,A2,22,2,31,0.8,2700,hot,25,28,58500,27000,85500,2,0.3,1,1,0,1,56
Aligarh,Industrial,4,west,500,low,100,2.7,0.55,61,no,C,composite,not required,avg,moderate,25,64,900,medium,M34,composite,hpl,69,23,2.1,0,0,B,24,1,29,0.7,2000,moderate,21,24,34500,11500,46000,0.6,0.55,1,0,0,1,55
Saharanpur,Commercial,17,south,1600,medium,170,1.8,0.4,49,yes,A2,glass,required,high,hot,28,69,1100,high,M35,glass,reflective,143,40,1,0.31,37,B,36,1,35,0.5,2600,"hot,coastal",30,35,228800,64000,292800,0.8,0.09,1,1,0,1,68
Firozabad,Residential,6,north,600,low,90,2.5,0.56,60,no,B,stone,required,avg,hot,27,68,950,medium,M36,stone,sandstone,70,22,1.8,0,0,B,40,0.7,28,1,2200,hot,18,48,42000,13200,55200,0.7,0.56,1,1,1,1,83
Muzaffarnagar,Hospital,11,east,1150,high,230,1.3,0.29,36,yes,A1,metal,required,high,hot,29,70,1100,high,M37,metal,galvanized,120,35,3,0,0,B,25,2,33,0.6,2800,"hot,coastal",38,32,138000,40250,178250,1.7,0.29,1,1,0,1,56
Gorakhpur,Industrial,8,west,750,low,110,2.4,0.53,58,no,C,composite,not required,avg,moderate,24,72,1050,medium,M38,composite,acp,29,28,2.5,0,0,B,20,1,30,1.2,2000,moderate,22,28,21750,21000,42750,0.1,0.53,1,0,0,1,62
Moradabad,Commercial,13,south,1380,medium,160,1.7,0.38,45,yes,A2,glass,required,high,hot,28,73,1120,high,M39,glass,igu,175,40,1.1,0.35,45,A1,28,1,34,0.6,2500,hot,30,30,241500,55200,296700,0.6,0.03,0,1,0,1,52
Shahjahanpur,Residential,10,north,850,low,85,2.3,0.54,60,no,B,terracotta,required,avg,hot,27,65,980,medium,M40,terracotta,cladding,149,25,2.7,0,0,A2,34,0.8,29,1.5,2200,hot,18,38,126650,21250,147900,0.4,0.54,0,1,0,1,47
Rampur,Industrial,5,west,550,medium,125,2.4,0.52,59,no,C,terracotta,required,low,moderate,24,71,1020,low,M38,terracotta,baguette,116,28,2.8,0,0,C,35,1.1,27,3.2,1900,hot,15,40,63800,15400,79200,0.4,0.52,1,1,1,0,78
Bijnor,Commercial,15,south,1475,high,195,1.7,0.41,47,yes,A2,composite,required,high,hot,28,70,1150,medium,M39,composite,acp,38,32,1.9,0,0,B,18,1.5,32,2.1,1800,moderate,28,22,56050,47200,103250,0.2,0.41,1,0,0,0,52
Etah,Residential,8,north,725,low,95,2.6,0.57,63,no,B,louvers,not required,avg,hot,29,66,920,high,M40,louvers,aluminum,74,30,3.5,0,0,B,20,2.5,29,0.9,2750,"cold,moderate",42,28,53650,21750,75400,0.9,0.57,1,0,1,0,60
Kasganj,Hospital,14,east,1325,medium,155,1.5,0.32,40,yes,A1,glass,required,high,moderate,25,69,1080,medium,M41,glass,dg,103,45,0.85,0.25,38,A2,26,1.2,36,0.2,2300,"coastal,hot",40,34,136475,59625,196100,0.65,0.07,1,1,0,0,60
Sambhal,Industrial,3,west,375,low,75,2.8,0.59,65,no,C,stone,required,low,hot,30,67,850,high,M42,stone,marble,83,38,1.7,0,0,C,42,0.5,25,0.3,2700,hot,22,52,31125,14250,45375,1.1,0.59,0,1,1,1,57
Budaun,Commercial,19,south,1825,high,225,1.9,0.43,50,yes,A2,metal,not required,high,hot,28,71,1180,high,M43,metal,stainless,109,25,2.9,0,0,A2,48,0.4,30,0.2,8000,"moderate,cold",48,60,198925,45625,244550,1,0.43,1,1,1,0,71
Pilibhit,Residential,10,north,950,medium,140,2.2,0.49,55,no,B,terracotta,required,avg,moderate,24,73,1250,low,M44,terracotta,gfrc,119,30,2.6,0,0,B,33,1,26,2.8,2000,moderate,20,38,113050,28500,141550,0.4,0.49,1,0,1,1,78
Hardoi,Hospital,16,east,1575,high,240,1.4,0.27,37,yes,A1,composite,required,high,hot,27,74,1320,medium,M45,composite,fiber cement,68,28,2.2,0,0,C,22,1.8,33,1.5,1650,coastal,26,25,107100,44100,151200,0.8,0.27,1,0,0,0,46
Jalandhar,Commercial,15,south,1400,medium,145,1.7,0.38,46,yes,A2,glass,required,high,hot,28,66,1200,medium,M46,glass,low-e,105,38,1.2,0.35,48,A2,27,1,35,0.4,2500,coastal,25,32,147000,53200,200200,0.5,0.03,1,1,1,0,83
Amritsar,Residential,10,north,900,low,90,2.3,0.5,58,no,B,stone,required,avg,hot,29,70,980,medium,M47,stone,granite,107,28,1.9,0,0,A2,35,0.6,30,1.1,2600,hot,18,50,96300,25200,121500,0.4,0.5,0,1,0,1,48
Ludhiana,Hospital,12,east,1150,high,220,1.4,0.28,39,yes,A1,metal,required,high,moderate,27,75,1150,high,M48,metal,aluminum,62,34,3.2,0,0,A1,22,1.8,32,0.5,2800,"hot,coastal",40,35,71300,39100,110400,1.8,0.28,1,1,1,0,66
Patiala,Industrial,5,west,600,low,95,2.5,0.56,60,no,C,composite,not required,low,hot,30,68,900,medium,M49,composite,hpl,52,22,2,0,0,C,20,1,28,1.5,2000,moderate,22,25,31200,13200,44400,0.5,0.56,1,0,1,0,66
Bathinda,Commercial,20,south,1700,high,210,1.6,0.35,47,yes,A2,glass,required,high,hot,27,70,1120,high,M50,glass,laminated,130,38,1.1,0.32,36,A2,30,1,36,0.3,2450,hot,28,30,221000,64600,285600,0.5,0.03,1,1,1,1,93
Faridkot,Residential,8,north,650,low,70,2.7,0.59,64,no,B,terracotta,required,avg,hot,28,69,990,medium,M51,terracotta,cladding,128,30,2.7,0,0,A2,35,0.9,28,3,1900,hot,15,40,83200,19500,102700,0,0.59,0,1,0,1,52
Hoshiarpur,Hospital,14,east,1400,medium,180,1.5,0.27,38,yes,A1,metal,required,high,moderate,26,73,1000,high,M52,metal,galvanized,96,36,3.3,0,0,A1,23,2,32,0.4,2700,coastal,35,28,134400,50400,184800,1.8,0.27,1,1,1,0,66
Sangrur,Industrial,6,west,700,low,120,2.3,0.52,58,no,C,stone,required,low,hot,29,67,850,medium,M53,stone,sandstone,80,26,2.1,0,0,B,38,0.7,30,1.2,2300,hot,20,50,56000,18200,74200,0.2,0.52,1,1,0,1,70
Moga,Commercial,13,south,1350,high,210,1.7,0.39,47,yes,A2,glass,required,high,hot,28,71,1200,high,M54,glass,low-e,142,39,1.2,0.34,47,A2,25,1,37,0.3,2600,"hot,coastal",30,30,191700,52650,244350,0.5,0.05,1,1,1,1,93
Jhansi,Commercial,14,south,1325,medium,160,1.9,0.41,49,yes,A2,glass,required,high,hot,28,65,850,high,M70,glass,low-e,140,40,1.25,0.38,47,A1,25,1.2,36,0.45,2480,"hot,coastal",26,34,185500,53000,238500,0.65,0.03,1,1,0,1,71
Gwalior,Residential,8,north,725,low,85,2.5,0.55,60,no,B,stone,required,avg,hot,29,62,750,medium,M71,stone,marble,104,30,1.85,0,0,A2,38,0.6,29,0.8,2650,hot,22,48,75400,21750,97150,0.65,0.55,0,1,0,1,44
Sagar,Hospital,11,east,1175,high,230,1.4,0.28,39,yes,A1,metal,required,high,moderate,26,70,1050,medium,M72,metal,aluminum,84,35,3.1,0,0,A1,23,1.9,33,0.6,2750,"hot,coastal",42,32,98700,41125,139825,1.7,0.28,1,1,1,0,66
Damoh,Industrial,6,west,650,low,105,2.6,0.57,62,no,C,composite,not required,avg,hot,27,68,950,high,M73,composite,acp,42,26,2.2,0,0,A2,21,1.3,31,1.8,1850,moderate,28,26,27300,16900,44200,0.4,0.57,1,0,0,0,47
Chhatarpur,Commercial,17,south,1585,medium,175,1.7,0.39,47,yes,A2,louvers,required,high,hot,29,66,800,high,M74,louvers,zinc,110,29,3.5,0,0,B,22,2.4,30,0.7,2900,"hot,moderate",40,30,174350,45965,220315,1.8,0.39,1,0,0,1,45
Tikamgarh,Residential,9,north,850,low,92,2.4,0.54,59,no,B,terracotta,required,low,moderate,25,71,1100,medium,M75,terracotta,cladding,152,32,2.8,0,0,B,37,0.9,28,2.9,1950,hot,18,44,129200,27200,156400,0.4,0.54,0,1,1,0,57
Panna,Hospital,15,east,1450,high,245,1.3,0.26,37,yes,A1,glass,required,high,hot,28,69,950,high,M76,glass,reflective,104,44,0.9,0.27,35,A2,27,1.4,37,0.2,2520,"coastal,hot",45,36,150800,63800,214600,0.4,0.01,1,1,0,1,75
Mumbai,Commercial,15,south,1200,medium,150,1.8,0.4,45,yes,A2,glass,required,high,coastal,28,75,2200,high,M1,glass,low-e,172,40,1.2,0.35,50,B,25,1,35,0.5,2500,"coastal,hot",25,30,206400,48000,254400,0.6,0.05,0,1,0,1,51
Delhi,Residential,8,north,800,low,80,2.2,0.5,60,no,B,stone,required,avg,hot,26,55,600,medium,M2,stone,granite,99,25,2,0,0,A2,40,0.5,28,1.2,2600,"hot,moderate",15,50,79200,20000,99200,0.2,0.5,0,1,0,1,51
Chennai,Hospital,10,east,1500,high,250,1.5,0.3,40,yes,A1,metal,not required,high,hot,30,70,1200,high,M3,metal,aluminum,118,35,3.5,0,0,A1,20,2,32,0.8,2700,"hot,coastal",40,25,177000,52500,229500,2,0.3,1,1,1,1,76
Bangalore,Industrial,5,west,600,medium,120,2,0.45,55,no,C,composite,required,low,moderate,24,60,900,medium,M4,composite,acp,43,30,1.8,0,0,B,15,1.5,30,2,1800,moderate,30,20,25800,18000,43800,0.2,0.45,1,0,0,1,61
Kolkata,Commercial,20,south,2000,high,200,1.6,0.35,50,yes,A2,glass,required,high,hot,27,80,1600,high,M5,glass,igu,126,45,1.1,0.3,55,B,28,1,38,0.3,2400,"hot,coastal",20,35,252000,90000,342000,0.5,0.05,1,1,0,1,73
Hyderabad,Residential,12,north,900,low,70,2.5,0.55,65,no,B,terracotta,not required,avg,hot,29,65,700,high,M6,terracotta,baguette,90,28,2.8,0,0,B,35,1,25,4,1900,hot,10,40,81000,25200,106200,0.3,0.55,0,1,1,1,69
Goa,Hospital,6,east,1100,medium,140,1.4,0.25,35,yes,A1,glass,required,high,coastal,26,85,3000,medium,M7,glass,laminated,154,38,1,0.25,40,C,22,1.2,36,0.2,2600,coastal,30,32,169400,41800,211200,0.4,0,0,1,0,1,55
Pune,Industrial,4,west,500,low,60,2.3,0.5,50,no,C,metal,required,low,moderate,25,58,800,low,M8,metal,galvanized,98,22,2.5,0,0,A1,30,0.8,29,1.5,7800,"moderate,hot",35,45,49000,11000,60000,0.2,0.5,0,1,0,1,51
Ahmedabad,Commercial,18,south,1600,high,220,1.7,0.4,48,yes,A2,composite,not required,high,hot,31,50,500,high,M9,composite,hpl,48,32,1.9,0,0,B,18,1.8,34,1.8,1400,hot,28,22,76800,51200,128000,0.2,0.4,1,0,0,1,62
Jaipur,Residential,7,north,700,medium,100,2.1,0.48,58,no,B,stone,required,avg,hot,28,45,400,high,M10,stone,sandstone,141,26,1.95,0,0,A1,45,0.4,27,3,2200,"hot,cold",12,55,98700,18200,116900,0.15,0.48,0,1,0,1,52
Kochi,Hospital,9,east,1300,high,260,1.3,0.28,38,yes,A1,glass,required,high,coastal,29,82,3200,high,M11,glass,reflective,166,42,0.9,0.28,32,A1,24,1.5,37,0.1,2500,coastal,45,28,215800,54600,270400,0.4,0,1,1,1,1,95
Lucknow,Industrial,3,west,400,low,55,2.4,0.52,62,no,C,terracotta,not required,low,moderate,27,62,1000,medium,M12,terracotta,gfrc,118,29,2.7,0,0,B,32,1.2,26,2.5,2000,moderate,18,38,47200,11600,58800,0.3,0.52,0,0,0,1,39
Bhopal,Commercial,14,south,1400,medium,130,1.9,0.42,52,yes,A2,metal,required,avg,hot,26,68,1100,medium,M13,metal,louvers,137,27,3.2,0,0,A1,26,2.5,31,0.6,2800,"hot,moderate",32,30,191800,37800,229600,1.3,0.42,0,0,0,1,27
Indore,Residential,11,north,850,low,75,2.6,0.58,68,no,B,composite,required,low,moderate,25,59,950,low,M14,composite,acp,30,20,2.1,0,0,A1,16,1,33,1.9,1600,moderate,25,18,25500,17000,42500,0.5,0.58,1,0,0,1,56
Vizag,Hospital,16,east,1700,high,240,1.2,0.22,32,yes,A1,glass,not required,high,coastal,28,78,2500,high,M15,glass,dg,102,48,0.8,0.22,36,C,27,1,39,0.05,2300,"coastal,hot",38,34,173400,81600,255000,0.4,0,1,1,0,1,75
Surat,Industrial,2,west,350,medium,110,2.2,0.46,54,no,C,stone,required,avg,hot,30,72,1300,high,M16,stone,marble,107,35,1.7,0,0,B,38,0.6,24,0.4,2700,hot,20,52,37450,12250,49700,0.5,0.46,1,1,0,1,67
Nagpur,Commercial,13,south,950,high,180,1.8,0.38,46,yes,A2,glass,required,high,hot,29,66,1200,medium,M17,glass,low-e,99,41,1.3,0.38,48,C,23,1.2,34,0.4,2450,hot,22,31,94050,38950,133000,0.5,0,1,1,0,1,73
